Fréquence (Hz)	Niveau (dB)
1130,493164	-76,533150
1133,184814	-76,050148
1135,876465	-80,242332
1138,568115	-70,530624
1141,259766	-66,211746
1143,951416	-74,483994
1146,643066	-84,688416
1149,334717	-86,234596
1152,026367	-86,185173
1154,718018	-86,169731
1157,409668	-83,822433
1160,101318	-84,112846
1162,792969	-85,116302
1165,484619	-83,500481
1168,176270	-85,468697
1170,867920	-85,850319
1173,559570	-85,039917
1176,251221	-87,183212
1178,942871	-87,854904
1181,634521	-85,934113
1184,326172	-86,022758
1187,017822	-86,048233
1189,709473	-86,637566
1192,401123	-85,884148
1195,092773	-86,066849
1197,784424	-85,313484
1200,476074	-86,005737
1203,167725	-86,867226
1205,859375	-84,992867
1208,551025	-85,558914
1211,242676	-86,013710
1213,934326	-86,157501
1216,625977	-86,980156
1219,317627	-86,308556
1222,009277	-84,399651
1224,700928	-83,065964
1227,392578	-85,397194
1230,084229	-88,494461
1232,775879	-87,275322
1235,467529	-86,973503
1238,159180	-86,465752
1240,850830	-87,253769
1243,542480	-86,737511
1246,234131	-87,597801
1248,925781	-86,526077
1251,617432	-86,024109
1254,309082	-84,901825
1257,000732	-78,717255
1259,692383	-75,148331
1262,384033	-80,944160
1265,075684	-86,034309
1267,767334	-84,270134
1270,458984	-86,002342
1273,150635	-87,188309
1275,842285	-85,524475
1278,533936	-86,136353
1281,225586	-86,455833
1283,917236	-85,575645
1286,608887	-86,308838
1289,300537	-88,358429
1291,992188	-88,268768
1294,683838	-88,269760
1297,375488	-87,131653
1300,067139	-86,210831
1302,758789	-86,257187
1305,450439	-85,868103
1308,142090	-85,178337
1310,833740	-84,942642
1313,525391	-85,899696
1316,217041	-86,851868
1318,908691	-85,979233
1321,600342	-86,096718
1324,291992	-85,707840
1326,983643	-86,618782
1329,675293	-86,983818
1332,366943	-86,894615
1335,058594	-86,369316
1337,750244	-86,297615
1340,441895	-87,505249
1343,133545	-85,290680
1345,825195	-86,239517
1348,516846	-87,270996
1351,208496	-87,830383
1353,900146	-86,571098
1356,591797	-88,153862
1359,283447	-88,289078
1361,975098	-87,813934
1364,666748	-87,003059
1367,358398	-86,140800
1370,050049	-87,179031
1372,741699	-87,363678
1375,433350	-86,119354
1378,125000	-86,140991
1380,816650	-85,607307
1383,508301	-86,690941
1386,199951	-87,985229
1388,891602	-87,398994
1391,583252	-86,225327
1394,274902	-78,224731
1396,966553	-80,596542
1399,658203	-88,399788
1402,349854	-86,878357
1405,041504	-86,233513
1407,733154	-86,049179
