Temps	Pendule{1}	Temps	Pendule{2}
3.33	1.13995150476694	3.33	-2.96331032831222
3.36	0.959721811115742	3.36	-4.08747997088358
3.39	1.36523862183094	3.39	-4.49218104220927
3.42	2.22132966667414	3.42	-4.8519153278321
3.45	1.50041089206934	3.45	-6.24588568462059
3.48	1.23006635159254	3.48	-7.10025461297482
3.51	0.779492117464542	3.51	-7.86468996992335
3.54	0.779492117464542	3.54	-7.9096567556262
3.57	1.18500892817974	3.57	-7.68482282711193
3.6	0.734434694051743	3.6	-8.26939104124904
3.63	0.689377270638943	3.63	-7.99959032703191
3.66	0.373975306749344	3.66	-7.81972318422049
3.69	0.238803036510944	3.69	-7.32508854148909
3.72	0.283860459923744	3.72	-6.11098532751203
3.75	0.824549540877342	3.75	-4.94184889923781
3.78	-0.0315415039658546	3.78	-4.76198175642639
