Temps	Pendule{1}	Temps	Pendule{2}	Var
4.15	-6.79015501588583	4.15	-7.05528782727197	
4.16	-5.57360458374023	4.16	-5.8411846132949	
4.17	-6.33958078175783	4.17	-6.56065318454057	
4.18	-5.25820261985064	4.18	-5.48145032767206	
4.19	-5.70877685397863	4.19	-5.88615139899775	
4.2	-4.89774323254824	4.2	-4.89688211353496	
4.21	-5.39337489008904	4.21	-5.39151675626636	
4.22	-3.99659476429224	4.22	-4.13244675658643	
4.23	-4.85268580913544	4.23	-4.80694854212925	
4.24	-4.04165218770504	4.24	-4.08747997088358	
4.25	-4.22188188135624	4.25	-4.04251318518072	
4.26	-3.41084825992584	4.26	-3.32304461393505	
4.27	-3.41084825992584	4.27	-3.2780778282322	
4.28	-2.68992948532104	4.28	-2.60357604268938	
4.29	-2.55475721508265	4.29	-2.46867568558082	
4.3	-1.42832162976265	4.3	-1.16463890019804	
4.31	-2.01406813412905	4.31	-1.7042403286323	
4.32	-1.20303451269865	4.32	-0.714971043169498	
4.33	-0.842575125396252	4.33	-0.670004257466644	
4.34	-0.392000891268253	4.34	0.0944310994818807	
4.35	-0.0765989273786545	4.35	0.184364670887589	
4.36	-0.0765989273786545	4.36	0.274298242293298	
4.37	0.689377270638943	4.37	0.993766813538969	
4.38	1.18500892817974	4.38	1.71323538478464	
4.39	1.41029604524374	4.39	1.80316895619035	
4.4	1.63558316230774	4.4	2.02800288470462	
4.41	1.77075543254614	4.41	2.3427703846246	
4.42	2.17627224326134	4.42	2.97230538446456	
4.43	2.85213359445333	4.43	3.3320396700874	
4.44	2.89719101786613	4.44	3.64680717000738	
4.45	3.52799494564533	4.45	4.00654145563021	
4.46	4.42914341390133	4.46	5.08574431249872	
4.47	4.20385629683733	4.47	4.77097681257874	
4.48	4.38408599048853	4.48	5.26561145531014	
4.49	4.83466022461653	4.49	5.4005118124187	
4.5	4.74454537779093	4.5	5.4005118124187	
4.51	5.10500476509333	4.51	5.98508002655581	
4.52	5.55557899922132	4.52	6.20991395507008	
4.53	5.60063642263412	4.53	6.25488074077293	
4.54	5.82592353969812	4.54	6.74951538350433	
4.55	6.14132550358772	4.55	6.83944895491004	
4.56	6.45672746747732	4.56	7.33408359764144	
4.57	6.45672746747732	4.57	7.15421645483002	
4.58	7.40293335914612	4.58	8.09851895458996	
4.59	6.50178489089012	4.59	7.24415002623573	
4.6	7.67327789962292	4.6	8.23341931169853	
4.61	6.68201458454132	4.61	7.46898395475	
4.62	7.26776108890772	4.62	8.00858538318425	
4.63	6.72707200795412	4.63	7.55891752615571	
4.64	7.17764624208212	4.64	7.91865181177855	
4.65	6.72707200795412	4.65	7.55891752615571	
4.66	7.89856501668692	4.66	8.63812038302422	
4.67	6.90730170160532	4.67	7.55891752615571	
4.68	7.35787593573332	4.68	8.23341931169853	
4.69	7.44799078255892	4.69	8.09851895458996	
4.7	6.59189973771572	4.7	7.28911681193858	
4.71	6.86224427819252	4.71	7.46898395475	
4.72	6.68201458454132	4.72	7.51395074045286	
4.73	6.54684231430292	4.73	7.15421645483002	
4.74	6.72707200795412	4.74	7.42401716904715	
4.75	6.18638292700052	4.75	6.70454859780148	
4.76	5.60063642263412	4.76	6.34481431217864	
4.77	6.32155519723892	4.77	6.74951538350433	
4.78	5.10500476509333	4.78	5.71527931233868	
4.79	5.82592353969812	4.79	6.20991395507008	
4.8	4.60937310755253	4.8	5.22064466960728	
4.81	5.10500476509333	4.81	5.49044538382441	
4.82	4.06868402659893	4.82	4.63607645547017	
4.83	4.24891372025013	4.83	4.59110966976732	
4.84	3.75328206270933	4.84	4.36627574125305	
4.85	3.52799494564533	4.85	3.8266743128188	
4.86	3.84339690953493	4.86	4.14144181273878	
4.87	2.76201874762774	4.87	2.97230538446456	
4.88	3.30270782858133	4.88	3.51190681289881	
4.89	1.99604254961014	4.89	2.16290324181318	
4.9	2.08615739643574	4.9	2.43270395603031	
4.91	1.36523862183094	4.91	1.48840145627037	
4.92	1.86087027937174	4.92	1.8481357418932	
4.93	0.644319847226143	4.93	0.678999313618988	
4.94	1.13995150476694	4.94	1.12866717064753	
4.95	-0.211771197617054	4.95	-0.265303186140954	
4.96	0.0135159194469452	4.96	0.0944310994818807	
4.97	-0.572230584919453	4.97	-0.670004257466644	
4.98	-1.42832162976265	4.98	-1.2096056859009	
4.99	-1.15797708928585	4.99	-1.34450604300946	
5	-2.32947009801865	5	-2.19887497136369	
5.01	-2.28441267460585	5.01	-2.42370889987797	
5.02	-2.37452752143145	5.02	-2.37874211417511	
5.03	-3.09544629603624	5.03	-3.36801139963791	
5.04	-3.45590568333864	5.04	-3.41297818534076	
5.05	-3.63613537698984	5.05	-3.95257961377501	
5.06	-4.44716899842024	5.06	-4.53714782791212	
5.07	-4.31199672818184	5.07	-4.67204818502069	
5.08	-4.94280065596104	5.08	-5.21164961345494	
5.09	-4.22188188135624	5.09	-4.58211461361498	
5.1	-5.30326004326344	5.1	-5.70628425618634	
5.11	-5.61866200715303	5.11	-5.75125104188919	
5.12	-5.84394912421703	5.12	-6.20091889891773	
5.13	-6.33958078175783	5.13	-6.51568639883772	
5.14	-6.20440851151943	5.14	-6.65058675594628	
5.15	-6.29452335834503	5.15	-6.56065318454057	
5.16	-6.88026986271143	5.16	-7.32508854148909	
5.17	-6.20440851151943	5.17	-6.74052032735199	
5.18	-7.42095894366503	5.18	-7.77475639851764	
5.19	-7.15061440318823	5.19	-7.59488925570622	
5.2	-6.65498274564743	5.2	-7.10025461297482	
5.21	-7.42095894366503	5.21	-7.95462354132906	
5.22	-6.70004016906023	5.22	-7.19018818438053	
5.23	-7.64624606072903	5.23	-8.22442425554618	
5.24	-7.37590152025223	5.24	-7.72978961281478	
5.25	-7.64624606072903	5.25	-8.17945746984333	
5.26	-7.33084409683943	5.26	-7.68482282711193	
5.27	-7.55613121390343	5.27	-8.17945746984333	
5.28	-7.60118863731623	5.28	-7.86468996992335	
5.29	-7.46601636707783	5.29	-8.04455711273476	
5.3	-7.64624606072903	5.3	-7.95462354132906	
5.31	-7.33084409683943	5.31	-7.99959032703191	
5.32	-6.65498274564743	5.32	-7.05528782727197	
5.33	-7.10555697977543	5.33	-7.68482282711193	
